,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
84,dash,Base Layer,L1,L1,No discount rate; ,,3.5,1.0,0.0,2.0,0.7,,489678368.0,0.0,0.0,489678368.0,1.0,-0.5454439291439845,tvl_growth,489678368.0,1077267249.071919,,489678368.0,P/S (G missing/≤0),1.0,1.0,0.0,2.0,3.5,4,5.0,,,,False,0.225,,False,,,,0.0
85,zksync,Base Layer,L2,L2,No growth metrics; No discount rate; ,,2.75,2.0,0.0,3.0,0.55,,164561888.0,177874256.9883475,108.08958207160792,342436144.98834753,1.0,,,342436144.98834753,,,342436144.98834753,P/S (G missing/≤0),1.0,2.0,0.0,3.0,2.75,2,2.0,,,,False,0.2,,False,,,,0.0
86,cosmos,Base Layer,L1,L1,No growth metrics; No discount rate; ,,3.0,1.0,0.0,1.0,0.6,,954618539.0,0.0,0.0,954618539.0,1.0,,,954618539.0,,,954618539.0,P/S (G missing/≤0),1.0,1.0,0.0,1.0,3.0,3,5.0,,,,False,0.25,,False,,,,0.0
87,story-2,Consumer,L1,IP,No growth metrics; No discount rate; ,,2.0,1.0,0.0,2.0,0.4,,174535571.0,311216868.8537142,178.31142790584173,485752439.8537142,1.0,,,485752439.8537142,,,485752439.8537142,P/S (G missing/≤0),1.0,1.0,0.0,2.0,2.0,4,1.0,,,,False,0.225,,False,,,,0.0
88,falcon-finance-ff,Finance,Stablecoin,Yield,No growth metrics; No discount rate; ,,2.0,2.0,0.0,1.0,0.4,,145355699.0,459924620.8333331,316.4132015445319,605280319.833333,1.0,,,605280319.833333,,,605280319.833333,P/S (G missing/≤0),1.0,2.0,0.0,1.0,2.0,4,4.0,,,,False,0.225,,False,,,,0.0
89,sun-token,Finance,Dex,AMM,No growth metrics; No discount rate; ,,2.5,2.0,0.0,1.0,0.5,,370994476.0,202980317.39930817,54.71249048983364,573974793.3993082,1.0,,,573974793.3993082,,,573974793.3993082,P/S (G missing/≤0),1.0,2.0,0.0,1.0,2.5,3,5.0,,,,False,0.225,,False,,,,0.0
90,bitcoin-cash,Base Layer,L1,L1,No discount rate; ,,3.5,1.0,0.0,1.0,0.7,,8937718536.0,0.0,0.0,8937718536.0,1.0,0.10722033198100586,tvl_growth,8937718536.0,8072213161.050699,,8072213161.050699,P/S/(1+G) [no D],1.0,1.0,0.0,1.0,3.5,5,5.0,,,,False,0.25,,False,,,,0.0
91,jasmycoin,Infra,Blockchain Infra,IoT,No growth metrics; No discount rate; ,,2.0,1.0,0.0,3.0,0.4,,278710049.0,0.0,0.0,278710049.0,1.0,,,278710049.0,,,278710049.0,P/S (G missing/≤0),1.0,1.0,0.0,3.0,2.0,2,5.0,,,,False,0.2,,False,,,,0.0
92,just,Finance,Money Markets,Stables,No growth metrics; No discount rate; ,,3.0,1.0,0.0,1.0,0.6,,714961507.0,0.0,0.0,714961507.0,1.0,,,714961507.0,,,714961507.0,P/S (G missing/≤0),1.0,1.0,0.0,1.0,3.0,3,5.0,,,,False,0.225,,False,,,,0.0
93,venice-token,Infra,AI,AI Privacy,No growth metrics; No discount rate; ,,2.0,,0.0,,0.4,,421953419.0,0.0,0.0,421953419.0,1.0,,,421953419.0,,,421953419.0,P/S (G missing/≤0),1.0,,0.0,,2.0,2,5.0,,,,False,0.2,,False,,,,0.0
